pair,fam,rot,tau,lamL,lamU,sym_fam,dBIC,vuong,p_vuong,LL_obs,UR_obs,ratio,LL_gauss,LL_indep,z_vs_gauss
Memory-FDG,clayton,0,0.3160645798774544,0.47238819521533915,0.0,gaussian,58.09072411456938,3.7227573864591053,0.0001970588574933263,12.380952380952381,6.190476190476191,2.0,8.446837861340894,4.0,3.5508597501860115
Memory-Amyloid,clayton,0,0.26810301593348834,0.38824660765799107,0.0,gaussian,7.428707845797618,0.5551789696437154,0.5787722520831691,10.158730158730158,5.396825396825397,1.8823529411764706,7.713020811651483,4.0,2.300873017957442
PCC-Precuneus,gaussian,0,0.2907289402450892,0.0,0.0,gaussian,0.0,,,8.88888888888889,7.142857142857142,1.2444444444444445,8.057095803261394,4.0,0.7670739035763493
Memory-Hippocampus,frank,0,0.38116162964803635,0.0,0.0,frank,0.0,,,9.365079365079366,8.88888888888889,1.0535714285714286,9.46808444928754,4.0,-0.08830738409012592
ExecFun-Memory,gaussian,0,0.4803044588835441,0.0,0.0,gaussian,0.0,,,12.857142857142856,10.158730158730158,1.2656249999999998,11.070907927670326,4.0,1.42887850716132
